Log obliczeń - 2025-08-25 14:52:19.757746
Folder: C:/Users/artur/source/repos/arturave/Wycena_Python_CypCloud/Wycena
Klient: Klient
Źródła cen: materials prices.xlsx, cutting prices.xlsx

Szczegóły obliczeń:
Rew001_SO-B32-001_SRODEK_I_2500: Jednostkowy (z narzutami) 36.9, Gięcie 0.0, Dodatkowe 0.0, Całkowity 1771.1999999999998
Rew001_SO-036-002_KANAL_SCIANA_OKNO_ZASLEPKA: Jednostkowy (z narzutami) 6.74, Gięcie 0.0, Dodatkowe 0.0, Całkowity 323.52
Rew001_SO-G68-001_FIBER_DNO_2520: Jednostkowy (z narzutami) 155.29, Gięcie 0.0, Dodatkowe 0.0, Całkowity 1863.48
Rew001_SO-H16-001_FIBER_BOK_Z_OKNAMI_2000_PALETA: Jednostkowy (z narzutami) 53.47, Gięcie 0.0, Dodatkowe 0.0, Całkowity 641.64
Rew003_SO-031-001_BOK_OKNO_ZASLEPKA: Jednostkowy (z narzutami) 13.15, Gięcie 0.0, Dodatkowe 0.0, Całkowity 631.2
Rew001_SO-G95-001_FIBER_GRZEBIEN_PAL_2520: Jednostkowy (z narzutami) 86.92, Gięcie 0.0, Dodatkowe 0.0, Całkowity 3129.12
Rew001_SO-G81-001_FIBER_PAL_RAMA_POZYCJONER_Y_II: Jednostkowy (z narzutami) 5.84, Gięcie 0.0, Dodatkowe 0.0, Całkowity 140.16
Rew001_SO-G72-001_FIBER_PAL_RAMA_GRZEB_BOK: Jednostkowy (z narzutami) 260.71, Gięcie 0.0, Dodatkowe 0.0, Całkowity 3128.5199999999995
Rew001_SO-G77-001_FIBER_PAL_NOGA_SRODKOWA: Jednostkowy (z narzutami) 9.11, Gięcie 0.0, Dodatkowe 0.0, Całkowity 109.32
Rew001_SO-G75-002_FIBER_PAL_RAMA_POZ_Y_HAK: Jednostkowy (z narzutami) 12.28, Gięcie 0.0, Dodatkowe 0.0, Całkowity 294.71999999999997
Rew004_SO-539-002_KANAL_PALETA: Jednostkowy (z narzutami) 184.67, Gięcie 0.0, Dodatkowe 0.0, Całkowity 4432.08
Rew001_SO-G69-001_FIBER_WANNA_2520: Jednostkowy (z narzutami) 308.11, Gięcie 0.0, Dodatkowe 0.0, Całkowity 7394.64
Rew001_SO-G76-001_FIBER_PAL_2520_ZAMK_CZOL: Jednostkowy (z narzutami) 63.7, Gięcie 0.0, Dodatkowe 0.0, Całkowity 127.4
Rew002_SO-413-001_MOCOWANIE_SILOWNIKA: Jednostkowy (z narzutami) 5.24, Gięcie 0.0, Dodatkowe 0.0, Całkowity 251.52
Rew001_SO-H09-001_FIBER_PAL_OSL_GRZEB_BOK: Jednostkowy (z narzutami) 54.54, Gięcie 0.0, Dodatkowe 0.0, Całkowity 654.48
Rew001_SO-H07-001_FIBER_PAL_DOSZCZ_GORNE: Jednostkowy (z narzutami) 18.4, Gięcie 0.0, Dodatkowe 0.0, Całkowity 441.59999999999997
Rew001_SO-G93-001_FIBER_MOC_DASZKA_SRODEK_PAL: Jednostkowy (z narzutami) 5.18, Gięcie 0.0, Dodatkowe 0.0, Całkowity 745.92
Rew001_SO-H15-001_FIBER_PAL_2520_DNO_WANNY_5: Jednostkowy (z narzutami) 47.45, Gięcie 0.0, Dodatkowe 0.0, Całkowity 2277.6000000000004
Rew001_SO-H04-001_FIBER_PAL_MOC_DASZKA_BOK_GNIAZDO: Jednostkowy (z narzutami) 3.37, Gięcie 0.0, Dodatkowe 0.0, Całkowity 323.52
Rew001_SO-G88-001_FIBER_RUSZT_PAL_2520_ZAMAWIAC_POLOWE: Jednostkowy (z narzutami) 49.5, Gięcie 0.0, Dodatkowe 0.0, Całkowity 8316.0
Rew001_SO-274-002_PROWADNICA_WIDEL_DLUGA: Jednostkowy (z narzutami) 49.95, Gięcie 0.0, Dodatkowe 0.0, Całkowity 1198.8000000000002
Rew001_SO-H02-001_FIBER_PAL_MOC_DASZKA_BOK_HAK: Jednostkowy (z narzutami) 4.34, Gięcie 0.0, Dodatkowe 0.0, Całkowity 416.64
Rew001_SO-F18-001_WZM_NOGI: Jednostkowy (z narzutami) 5.0, Gięcie 0.0, Dodatkowe 0.0, Całkowity 120.0
Rew001_SO-G82-001_FIBER_PAL_ZASLEPKA_WZM_BOKU: Jednostkowy (z narzutami) 6.27, Gięcie 0.0, Dodatkowe 0.0, Całkowity 150.48
Rew001_SO-G97-001_FIBER_PAL_BAZA_MOC_GRZEB_BOK: Jednostkowy (z narzutami) 3.68, Gięcie 0.0, Dodatkowe 0.0, Całkowity 132.48000000000002
Rew001_SO-H04-001_FIBER_PAL_2520_DASZEK_BOK_619: Jednostkowy (z narzutami) 42.36, Gięcie 0.0, Dodatkowe 0.0, Całkowity 1016.64
Rew001_SO-H14-001_FIBER_DASZEK_TRAPEZ_PAL: Jednostkowy (z narzutami) 43.9, Gięcie 0.0, Dodatkowe 0.0, Całkowity 2107.2
